audio_file,duration_ms,segment_number,item_id,genero,fonologia,list,spl_exp,spa_sniy,que_ykuna
d_1b_seg1.wav,5536.39,1,item_2d,0.0,1.0,2,dim,,
d_1b_seg2.wav,1002.0,2,item_2d,0.0,1.0,2,dim,,
d_1b_seg3.wav,881.22,3,item_2d,0.0,1.0,2,dim,,
d_1b_seg4.wav,1007.94,4,item_2d,0.0,1.0,2,dim,,
d_1b_seg5.wav,835.15,5,item_2d,0.0,1.0,2,dim,,
d_1b_seg6.wav,875.46,6,item_2d,0.0,1.0,2,dim,,
d_1b_seg7.wav,1388.1,7,item_2d,0.0,1.0,2,dim,,
d_1b_seg8.wav,2476.67,8,item_2d,0.0,1.0,2,dim,,
d_2a_seg1.wav,4860.23,1,item_3d,1.0,0.0,2,dim,,
d_2a_seg2.wav,900.14,2,item_3d,1.0,0.0,2,dim,,
d_2a_seg3.wav,641.02,3,item_3d,1.0,0.0,2,dim,,
d_2a_seg4.wav,918.32,4,item_3d,1.0,0.0,2,dim,,
d_2a_seg5.wav,691.02,5,item_3d,1.0,0.0,2,dim,,
d_2a_seg6.wav,868.32,6,item_3d,1.0,0.0,2,dim,,
d_2a_seg7.wav,1118.37,7,item_3d,1.0,0.0,2,dim,,
d_2a_seg8.wav,2255.87,8,item_3d,1.0,0.0,2,dim,,
d_3b_seg1.wav,6679.82,1,item_6d,1.0,0.0,2,dim,,
d_3b_seg2.wav,883.22,2,item_6d,1.0,0.0,2,dim,,
d_3b_seg3.wav,771.72,3,item_6d,1.0,0.0,2,dim,,
d_3b_seg4.wav,838.62,4,item_6d,1.0,0.0,2,dim,,
d_3b_seg5.wav,789.55,5,item_6d,1.0,0.0,2,dim,,
d_3b_seg6.wav,843.08,6,item_6d,1.0,0.0,2,dim,,
d_3b_seg7.wav,1083.95,7,item_6d,1.0,0.0,2,dim,,
d_3b_seg8.wav,3306.19,8,item_6d,1.0,0.0,2,dim,,
d_4a_seg1.wav,6359.37,1,item_7d,0.0,1.0,2,dim,,
d_4a_seg2.wav,970.32,2,item_7d,0.0,1.0,2,dim,,
d_4a_seg3.wav,773.51,3,item_7d,0.0,1.0,2,dim,,
d_4a_seg4.wav,727.73,4,item_7d,0.0,1.0,2,dim,,
d_4a_seg5.wav,800.98,5,item_7d,0.0,1.0,2,dim,,
d_4a_seg6.wav,819.27,6,item_7d,0.0,1.0,2,dim,,
d_4a_seg7.wav,686.55,7,item_7d,0.0,1.0,2,dim,,
d_4a_seg8.wav,3185.56,8,item_7d,0.0,1.0,2,dim,,
d_5b_seg1.wav,5447.35,1,item_10d,0.0,1.0,2,dim,,
d_5b_seg2.wav,1051.9,2,item_10d,0.0,1.0,2,dim,,
d_5b_seg3.wav,745.9,3,item_10d,0.0,1.0,2,dim,,
d_5b_seg4.wav,999.3,4,item_10d,0.0,1.0,2,dim,,
d_5b_seg5.wav,731.54,5,item_10d,0.0,1.0,2,dim,,
d_5b_seg6.wav,817.62,6,item_10d,0.0,1.0,2,dim,,
d_5b_seg7.wav,1271.84,7,item_10d,0.0,1.0,2,dim,,
d_5b_seg8.wav,2123.22,8,item_10d,0.0,1.0,2,dim,,
d_6a_seg1.wav,5718.5,1,item_11d,1.0,0.0,2,dim,,
d_6a_seg2.wav,1233.51,2,item_11d,1.0,0.0,2,dim,,
d_6a_seg3.wav,1113.51,3,item_11d,1.0,0.0,2,dim,,
d_6a_seg4.wav,1275.78,4,item_11d,1.0,0.0,2,dim,,
d_6a_seg5.wav,979.23,5,item_11d,1.0,0.0,2,dim,,
d_6a_seg6.wav,1169.48,6,item_11d,1.0,0.0,2,dim,,
d_6a_seg7.wav,1852.13,7,item_11d,1.0,0.0,2,dim,,
d_6a_seg8.wav,2522.9,8,item_11d,1.0,0.0,2,dim,,
d_7b_seg1.wav,5015.78,1,item_14d,1.0,0.0,2,dim,,
d_7b_seg2.wav,966.67,2,item_14d,1.0,0.0,2,dim,,
d_7b_seg3.wav,861.38,3,item_14d,1.0,0.0,2,dim,,
d_7b_seg4.wav,1028.87,4,item_14d,1.0,0.0,2,dim,,
d_7b_seg5.wav,909.23,5,item_14d,1.0,0.0,2,dim,,
d_7b_seg6.wav,847.03,6,item_14d,1.0,0.0,2,dim,,
d_7b_seg7.wav,1234.65,7,item_14d,1.0,0.0,2,dim,,
d_7b_seg8.wav,2189.84,8,item_14d,1.0,0.0,2,dim,,
d_8a_seg1.wav,5026.85,1,item_15d,0.0,1.0,2,dim,,
d_8a_seg2.wav,931.41,2,item_15d,0.0,1.0,2,dim,,
d_8a_seg3.wav,625.94,3,item_15d,0.0,1.0,2,dim,,
d_8a_seg4.wav,921.41,4,item_15d,0.0,1.0,2,dim,,
d_8a_seg5.wav,756.17,5,item_15d,0.0,1.0,2,dim,,
d_8a_seg6.wav,836.28,6,item_15d,0.0,1.0,2,dim,,
d_8a_seg7.wav,1276.94,7,item_15d,0.0,1.0,2,dim,,
d_8a_seg8.wav,2318.28,8,item_15d,0.0,1.0,2,dim,,
d_9b_seg1.wav,5638.21,1,item_18d,0.0,1.0,2,dim,,
d_9b_seg2.wav,993.24,2,item_18d,0.0,1.0,2,dim,,
d_9b_seg3.wav,799.18,3,item_18d,0.0,1.0,2,dim,,
