audio_file,duration_ms,segment_number,item_id,genero,fonologia,list,spl_exp,spa_sniy,que_ykuna
d_9a_seg8.wav,2638.28,8,item_17d,1.0,0.0,1,dim,,
d_10b_seg1.wav,5366.51,1,item_20d,0.0,1.0,1,dim,,
d_10b_seg2.wav,925.06,2,item_20d,0.0,1.0,1,dim,,
d_10b_seg3.wav,791.56,3,item_20d,0.0,1.0,1,dim,,
d_10b_seg4.wav,982.27,4,item_20d,0.0,1.0,1,dim,,
d_10b_seg5.wav,753.4,5,item_20d,0.0,1.0,1,dim,,
d_10b_seg6.wav,791.54,6,item_20d,0.0,1.0,1,dim,,
d_10b_seg7.wav,1401.88,7,item_20d,0.0,1.0,1,dim,,
d_10b_seg8.wav,2557.51,8,item_20d,0.0,1.0,1,dim,,
d_11a_seg1.wav,5660.86,1,item_21d,0.0,1.0,1,dim,,
d_11a_seg2.wav,1036.21,2,item_21d,0.0,1.0,1,dim,,
d_11a_seg3.wav,881.68,3,item_21d,0.0,1.0,1,dim,,
d_11a_seg4.wav,922.59,4,item_21d,0.0,1.0,1,dim,,
d_11a_seg5.wav,713.54,5,item_21d,0.0,1.0,1,dim,,
d_11a_seg6.wav,827.14,6,item_21d,0.0,1.0,1,dim,,
d_11a_seg7.wav,1154.38,7,item_21d,0.0,1.0,1,dim,,
d_11a_seg8.wav,2471.47,8,item_21d,0.0,1.0,1,dim,,
d_12b_seg1.wav,6120.27,1,item_24d,1.0,0.0,1,dim,,
d_12b_seg2.wav,934.22,2,item_24d,1.0,0.0,1,dim,,
d_12b_seg3.wav,722.61,3,item_24d,1.0,0.0,1,dim,,
d_12b_seg4.wav,1181.95,4,item_24d,1.0,0.0,1,dim,,
d_12b_seg5.wav,779.39,5,item_24d,1.0,0.0,1,dim,,
d_12b_seg6.wav,753.58,6,item_24d,1.0,0.0,1,dim,,
d_12b_seg7.wav,1264.56,7,item_24d,1.0,0.0,1,dim,,
d_12b_seg8.wav,2743.58,8,item_24d,1.0,0.0,1,dim,,
d_13a_seg1.wav,5199.75,1,item_25d,1.0,0.0,1,dim,,
d_13a_seg2.wav,674.99,2,item_25d,1.0,0.0,1,dim,,
d_13a_seg3.wav,714.88,3,item_25d,1.0,0.0,1,dim,,
d_13a_seg4.wav,828.48,4,item_25d,1.0,0.0,1,dim,,
d_13a_seg5.wav,790.59,5,item_25d,1.0,0.0,1,dim,,
d_13a_seg6.wav,705.4,6,item_25d,1.0,0.0,1,dim,,
d_13a_seg7.wav,1022.59,7,item_25d,1.0,0.0,1,dim,,
d_13a_seg8.wav,2762.52,8,item_25d,1.0,0.0,1,dim,,
d_14b_seg1.wav,5429.84,1,item_28d,0.0,1.0,1,dim,,
d_14b_seg2.wav,884.69,2,item_28d,0.0,1.0,1,dim,,
d_14b_seg3.wav,697.3,3,item_28d,0.0,1.0,1,dim,,
d_14b_seg4.wav,767.05,4,item_28d,0.0,1.0,1,dim,,
d_14b_seg5.wav,679.89,5,item_28d,0.0,1.0,1,dim,,
d_14b_seg6.wav,775.76,6,item_28d,0.0,1.0,1,dim,,
d_14b_seg7.wav,989.3,7,item_28d,0.0,1.0,1,dim,,
d_14b_seg8.wav,2626.64,8,item_28d,0.0,1.0,1,dim,,
d_15a_seg1.wav,6695.26,1,item_29d,0.0,1.0,1,dim,,
d_15a_seg2.wav,926.42,2,item_29d,0.0,1.0,1,dim,,
d_15a_seg3.wav,718.78,3,item_29d,0.0,1.0,1,dim,,
d_15a_seg4.wav,830.57,4,item_29d,0.0,1.0,1,dim,,
d_15a_seg5.wav,766.69,5,item_29d,0.0,1.0,1,dim,,
d_15a_seg6.wav,713.42,6,item_29d,0.0,1.0,1,dim,,
d_15a_seg7.wav,1070.16,7,item_29d,0.0,1.0,1,dim,,
d_15a_seg8.wav,3371.25,8,item_29d,0.0,1.0,1,dim,,
d_16b_seg1.wav,6932.79,1,item_32d,1.0,0.0,1,dim,,
d_16b_seg2.wav,1070.61,2,item_32d,1.0,0.0,1,dim,,
d_16b_seg3.wav,832.7,3,item_32d,1.0,0.0,1,dim,,
